step	time	T	Ekin	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	tab-dynamic_0	cr_5	count_0	Fmax
283000	283	2.42203	14532.2	173.376	2445.37	0	0	-11571.8	0	0	0	7000
284000	284	2.44763	14685.8	145.842	2472.08	0	0	-11491.4	0	0	0	7000
285000	285	2.5059	15035.4	156.9	2322.7	0	0	-11711.1	0	0	0	7000
286000	286	2.43986	14639.1	190.334	2557.19	0	0	-11694.3	0	0	0	7000
287000	287	2.53652	15219.1	190.58	2404.6	0	0	-11464	0	0	0	7000
288000	288	2.51412	15084.7	164.961	2497	0	0	-11516	0	0	0	7000
289000	289	2.46808	14808.5	174.749	2466.63	0	0	-11331.8	0	0	0	7000
290000	290	2.47992	14879.5	162.715	2338.08	0	0	-11549.1	0	0	0	7000
291000	291	2.46367	14782	185.585	2485.38	0	0	-11578.9	0	0	0	7229.7
292000	292	2.44358	14661.5	231.062	2496.78	0	0	-11423.2	0	0	0	7000
293000	293	2.44595	14675.7	166.396	2465.37	0	0	-11546.5	0	0	0	7000
294000	294	2.51056	15063.3	174.341	2323.87	0	0	-11566.4	0	0	0	7000
295000	295	2.4705	14823	198.946	2495.06	0	0	-11591.2	0	0	0	7000
296000	296	2.53607	15216.4	177.47	2393.26	0	0	-11510.9	0	0	0	7000
297000	297	2.51788	15107.3	185.673	2412.36	0	0	-11666	0	0	0	7000
298000	298	2.56429	15385.7	183.744	2449.46	0	0	-11641.2	0	0	0	7000
299000	299	2.44787	14687.2	169.663	2244.3	0	0	-11482.7	0	0	0	7000
300000	300	2.45393	14723.6	171.057	2397.04	0	0	-11633.6	0	0	0	7000
301000	301	2.48886	14933.1	200.828	2505.79	0	0	-11581.8	0	0	0	7000
302000	302	2.45836	14750.1	178.425	2463.68	0	0	-11747.1	0	0	0	7000
303000	303	2.47249	14834.9	182.571	2382.44	0	0	-11854.8	0	0	0	7000
304000	304	2.49357	14961.4	174.749	2312.31	0	0	-11820.2	0	0	0	7000
305000	305	2.46567	14794	156.94	2478.3	0	0	-11813	0	0	0	7452
306000	306	2.45747	14744.8	179.595	2386.66	0	0	-11722.7	0	0	0	7000
307000	307	2.4763	14857.8	180.272	2390.61	0	0	-11535.1	0	0	0	7000
308000	308	2.47698	14861.9	171.654	2473.27	0	0	-11403.2	0	0	0	7000
309000	309	2.48696	14921.8	134.635	2296.04	0	0	-11775.4	0	0	0	7000
310000	310	2.49288	14957.3	164.309	2395.41	0	0	-11508.9	0	0	0	7000
