step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	tab-scaled_0	cr_3	count_0	res_fpl_0
256000	256	4.36091	26165.5	0	5196.79	4741.86	0	15837.5	0	9949.35	0	0	-nan
257000	257	4.44495	26669.7	0	5174.89	4421.58	0	15709.8	0	9828.54	0	0	-nan
258000	258	4.40506	26430.4	0	5230.29	4230.91	0	15498.4	0	10413.9	0	0	-nan
259000	259	4.40624	26437.4	0	5172.46	4150.09	0	15550.4	0	10195.1	0	0	-nan
260000	260	4.40191	26411.4	0	5335.48	4525.15	0	15503.6	0	10106.3	0	0	-nan
261000	261	4.44786	26687.1	0	5324.78	4456.41	0	15479.2	0	10465.4	0	0	-nan
262000	262	4.40823	26449.4	0	4993.98	4315.03	0	15197.3	0	10151.4	0	0	-nan
263000	263	4.52877	27172.6	0	5246.68	4263.22	0	15465.9	0	10031.7	0	0	-nan
264000	264	4.39774	26386.5	0	5031.18	4575.76	0	15404.2	0	9984.89	0	0	-nan
265000	265	4.55044	27302.6	0	5018.64	4301.37	0	15498.6	0	10260.5	0	0	-nan
266000	266	4.45647	26738.8	0	5413.07	4545.38	0	15603.7	0	10005.7	0	0	-nan
267000	267	4.35326	26119.6	0	5158.08	4486.61	0	15922.6	0	10243.6	0	0	-nan
268000	268	4.4822	26893.2	0	5176.64	4496.15	0	15584.5	0	10105.1	0	0	-nan
269000	269	4.38511	26310.6	0	5372.5	4418.34	0	15632.3	0	10137.4	0	0	-nan
270000	270	4.44582	26674.9	0	4903.94	4568.49	0	15540.9	0	10032	0	0	-nan
271000	271	4.44123	26647.4	0	5472.92	4388.66	0	15652.9	0	10097.5	0	0	-nan
272000	272	4.52787	27167.2	0	5183.39	4514.23	0	15404.3	0	10051.3	0	0	-nan
273000	273	4.47684	26861.1	0	5135.09	4474.94	0	15422.9	0	10120.5	0	0	-nan
